rad0,lid0
0,1
1,4
2,10
3,19
4,28
5,31
6,34
7,37
8,40
9,43
10,46
11,49
12,52
13,55
14,58
15,61
16,64
17,67
18,70
19,73
20,76
21,79
22,82
23,85
24,88
25,91
26,94
27,97
28,100
29,103
30,106
31,109
32,112
33,115
34,118
35,120
36,123
37,127
38,129
39,132
40,135
41,138
42,141
43,144
44,147
45,153
46,171
47,174
48,177
49,189
50,198
51,201
52,204
53,207
54,210
55,213
56,216
57,219
58,222
59,225
60,228
61,231
62,237
63,240
64,258
65,273
66,276
67,279
68,282
69,285
70,288
71,291
72,294
73,297
74,300
75,306
76,312
77,315
78,318
79,321
80,324
81,327
82,330
83,333
84,336
85,339
86,342
87,345
88,348
89,351
90,354
91,357
92,360
93,363
94,369
95,384
96,387
97,396
98,405
99,408
100,411
101,414
102,417
103,432
104,435
105,438
106,441
107,444
108,447
109,453
110,456
111,459
112,462
113,465
114,468
115,471
116,474
117,477
118,480
119,483
120,486
121,489
122,492
123,495
124,498
125,504
126,507
127,510
128,522
129,525
130,528
131,531
132,534
133,537
134,540
135,549
136,552
137,555
138,558
139,561
140,564
141,567
142,570
143,573
144,576
145,579
146,582
147,585
148,588
149,591
150,594
151,597
152,600
153,603
154,609
155,630
156,636
157,638
158,641
159,644
160,647
161,650
162,653
163,656
164,659
165,662
166,665
167,701
168,704
169,707
170,710
171,713
172,716
173,719
174,722
175,725
176,734
177,737
178,740
179,743
180,746
181,749
182,752
183,776
184,779
185,782
186,785
187,788
188,791
189,794
190,797
191,800
192,803
193,806
194,809
195,812
196,815
197,818
198,821
199,824
200,827
201,830
202,833
203,836
204,839
205,842
206,845
207,848
208,851
209,854
210,857
211,893
212,911
213,920
214,923
215,926
216,944
217,950
218,953
219,956
220,965
221,968
222,971
223,974
224,977
225,980
226,983
227,986
228,989
229,995
230,998
231,1004
232,1010
233,1016
234,1019
235,1022
236,1025
237,1028
238,1031
239,1055
240,1058
241,1061
242,1064
243,1067
244,1070
245,1073
246,1076
247,1079
248,1082
249,1085
250,1088
251,1091
252,1094
253,1097
254,1100
255,1103
256,1106
257,1109
258,1112
259,1115
260,1118
261,1121
262,1124
263,1127
264,1130
265,1133
266,1136
267,1139
268,1142
269,1145
270,1148
271,1153
272,1156
273,1165
274,1168
275,1171
276,1174
277,1177
278,1180
279,1183
280,1186
281,1189
282,1192
283,1195
284,1198
285,1201
286,1204
287,1207
288,1210
289,1213
290,1216
291,1219
292,1225
293,1228
294,1231
295,1237
296,1240
297,1243
298,1246
299,1249
300,1252
301,1258
302,1264
303,1267
304,1270
305,1273
306,1276
307,1291
308,1294
309,1297
310,1300
311,1303
312,1306
313,1309
314,1312
315,1318
316,1321
317,1324
318,1327
319,1330
320,1333
321,1336
322,1351
323,1354
324,1357
325,1360
326,1363
327,1366
328,1369
329,1372
330,1375
331,1378
332,1381
333,1384
334,1387
335,1390
336,1393
337,1396
338,1399
339,1402
340,1405
341,1408
342,1411
343,1414
344,1417
345,1420
346,1423
347,1429
348,1432
349,1435
